"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.57467410527417e-06,0.00671604745553323,0.345,0.282,0.120398598539739,"MRPL46"
3.57691853923477e-06,0.00990340998462347,0.22,0.175,0.120474193319966,"PTRH1"
3.59486731538624e-06,0.00905670110641588,0.439,0.363,0.121078726049524,"TARBP2"
3.63457431150087e-06,0.0437309715345753,0.785,0.701,0.122416097385661,"MTCH2"
3.68295703821893e-06,0.0224185662852328,0.407,0.339,0.124045676004252,"NOP58"
3.69686417168638e-06,0.00903443762290955,0.116,0.084,0.124514082166569,"IFT74"
3.72550679106552e-06,0.02487906652522,0.629,0.534,0.125478794229878,"SRSF4"
3.7273246910617e-06,0.0291471878147325,0.654,0.561,0.125540022919649,"CYB5R3"
3.74983566623624e-06,0.00627431203146678,0.274,0.219,0.126298215074503,"SCAP"
3.75351522836641e-06,0.011634552558405,0.223,0.178,0.126422146406609,"BRD8"
3.76554581040893e-06,0.00725658642955121,0.153,0.116,0.126827348440383,"MGAT2"
3.78895953869859e-06,0.0234617151655453,0.433,0.365,0.127615946222907,"ETF1"
3.79035234344339e-06,0.0294953779604281,0.616,0.531,0.127662857279517,"MAPK1IP1L"
3.81046538192453e-06,0.00955503327793505,0.433,0.359,0.1283402845286,"SGOL1"
3.81816584539126e-06,0.0155869817255935,0.306,0.25,0.128599643838623,"BMS1"
3.81943332203199e-06,0.0115828576212338,0.424,0.35,0.128642333719359,"BLOC1S4"
3.82680158173786e-06,0.0476888208931416,0.724,0.645,0.128890504074513,"EIF4E2"
3.86996167254432e-06,0.0198478431598988,0.59,0.504,0.130344179092965,"SRP72"
3.8955743215771e-06,0.00951110895372387,0.413,0.34,0.131206838725038,"SNX17"
3.89847759545386e-06,0.0105157387298994,0.125,0.093,0.131304623892482,"APOOL"
3.91853763060012e-06,0.0235418066626473,0.464,0.39,0.131980265936243,"PPP1R7"
3.93871369521705e-06,0.0116286056108727,0.329,0.268,0.132659815968605,"GLMP"
3.95518328880105e-06,0.00700712148650082,0.139,0.105,0.133214528350108,"RAD51D"
3.97607869934423e-06,0.0388623113700832,0.123,0.093,0.133918306672613,"ACTA2"
3.97851751100906e-06,0.0382441093468822,0.716,0.63,0.134000448288296,"ZC3H15"
4.00223904694812e-06,0.0115702429933985,0.213,0.168,0.134799413340259,"TPRA1"
4.00255782971363e-06,0.0189297313661863,0.129,0.096,0.134810150262585,"CROT"
4.01962158759826e-06,0.0458796636591692,0.92,0.86,0.135384874691897,"NPM3"
4.02253764766615e-06,0.0156265003497928,0.45,0.373,0.135483090511044,"MTA1"
4.03122784199194e-06,0.0177166389225094,0.282,0.229,0.135775784946131,"RRP9"
4.03127448076609e-06,0.015339002559087,0.208,0.165,0.135777355786683,"RHOT1"
4.03735422680666e-06,0.00797088600627074,0.153,0.117,0.135982127713075,"PRR3"
4.05557827783398e-06,0.012089437554114,0.114,0.083,0.136595931975726,"SLC38A5"
4.06636265954229e-06,0.0119296099440189,0.433,0.358,0.136959160736044,"SDHD"
4.0878862228525e-06,0.0124469087217078,0.412,0.342,0.137684095871895,"RCC1"
4.08821022395766e-06,0.00977160157851259,0.214,0.169,0.137695008553118,"FTSJ1"
4.11603969040772e-06,0.0111240925319839,0.155,0.118,0.138632332812622,"NUP85"
4.13108586897023e-06,0.0105803205493778,0.361,0.295,0.139139103152786,"RQCD1"
4.13851317953971e-06,0.00965522252829598,0.466,0.391,0.139389262400077,"TFAM"
4.15368389414584e-06,0.00561207903431882,0.112,0.082,0.139900227238726,"ATG4A"
4.15457087096179e-06,0.00760449823843423,0.359,0.296,0.139930101504864,"MAP7D1"
